Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,1.15,1.15,1.15,1.15,0.0,0.0000
2023-06-20,1.15,1.15,1.15,1.15,0.0,0.0000
2023-06-21,1.15,1.15,1.15,1.15,0.0,0.0000
2023-06-22,1.15,1.15,1.15,1.15,0.0,0.0000
2023-06-25,1.15,1.15,1.15,1.15,9453.0,0.0000
2023-06-26,1.15,1.15,1.15,1.15,0.0,0.0000
2023-06-27,1.15,1.15,1.15,1.15,0.0,0.0000
2023-06-29,1.15,1.15,1.15,1.15,0.0,0.0000
2023-07-02,1.15,1.15,1.15,1.15,28289.0,0.0000
2023-07-03,1.15,1.15,1.15,1.15,0.0,0.0000
2023-07-04,1.15,1.15,1.15,1.15,0.0,0.0000
2023-07-05,1.15,1.15,1.15,1.15,0.0,0.0000
2023-07-06,1.15,1.15,1.15,1.15,0.0,0.0000
2023-07-09,1.2,1.2,1.2,1.2,71348.0,0.0000
2023-07-10,1.2,1.2,1.2,1.2,0.0,0.0000
2023-07-11,1.2,1.2,1.2,1.2,0.0,0.0000
2023-07-12,1.2,1.2,1.2,1.2,0.0,0.0000
2023-07-13,1.2,1.2,1.2,1.2,0.0,0.0000
2023-07-16,1.2,1.2,1.2,1.2,128602.0,0.0000
2023-07-17,1.2,1.2,1.2,1.2,0.0,0.0000
2023-07-18,1.2,1.2,1.2,1.2,0.0,0.0000
2023-07-19,1.2,1.2,1.2,1.2,0.0,0.0000
2023-07-20,1.2,1.2,1.2,1.2,0.0,0.0000
2023-07-23,1.2,1.2,1.2,1.2,472848.0,0.0000
2023-07-24,1.2,1.2,1.2,1.2,0.0,0.0000
2023-07-25,1.2,1.2,1.2,1.2,0.0,0.0000
2023-07-26,1.2,1.2,1.2,1.2,0.0,0.0000
2023-07-27,1.2,1.2,1.2,1.2,0.0,0.0000
2023-07-30,1.2,1.2,1.2,1.2,17386.0,0.0000
2023-07-31,1.2,1.2,1.2,1.2,0.0,0.0000
2023-08-01,1.2,1.2,1.2,1.2,0.0,0.0000
2023-08-02,1.2,1.2,1.2,1.2,0.0,0.0000
2023-08-03,1.2,1.2,1.2,1.2,0.0,0.0000
2023-08-06,1.2,1.2,1.2,1.2,20709.0,0.0000
2023-08-07,1.2,1.2,1.2,1.2,0.0,0.0000
2023-08-08,1.2,1.2,1.2,1.2,0.0,0.0000
2023-08-09,1.2,1.2,1.2,1.2,0.0,0.0000
2023-08-10,1.2,1.2,1.2,1.2,0.0,0.0000
2023-08-13,1.25,1.25,1.25,1.25,121256.0,0.0000
2023-08-15,1.25,1.25,1.25,1.25,0.0,0.0000
2023-08-16,1.25,1.25,1.25,1.25,0.0,0.0000
2023-08-17,1.25,1.25,1.25,1.25,0.0,0.0000
2023-08-20,1.25,1.25,1.25,1.25,10830.0,0.0000
2023-08-21,1.25,1.25,1.25,1.25,0.0,0.0000
2023-08-22,1.25,1.25,1.25,1.25,0.0,0.0000
2023-08-23,1.25,1.25,1.25,1.25,0.0,0.0000
2023-08-24,1.25,1.25,1.25,1.25,0.0,0.0000
2023-08-27,1.25,1.25,1.25,1.25,26282.0,0.0000
2023-08-28,1.25,1.25,1.25,1.25,0.0,0.0000
2023-08-29,1.25,1.25,1.25,1.25,0.0,0.0000
2023-08-30,1.25,1.25,1.25,1.25,0.0,0.0000
2023-08-31,1.25,1.25,1.25,1.25,0.0,0.0000
2023-09-03,1.25,1.25,1.25,1.25,617629.0,0.0000
2023-09-04,1.25,1.25,1.25,1.25,0.0,0.0000
2023-09-05,1.25,1.25,1.25,1.25,0.0,0.0000
2023-09-06,1.25,1.25,1.25,1.25,0.0,0.0000
2023-09-07,1.25,1.25,1.25,1.25,0.0,0.0000
2023-09-10,1.25,1.25,1.2,1.2,1400712.0,0.0000
2023-09-11,1.2,1.2,1.2,1.2,0.0,0.0000
2023-09-12,1.2,1.2,1.2,1.2,0.0,0.0000
2023-09-13,1.2,1.2,1.2,1.2,0.0,0.0000
2023-09-14,1.2,1.2,1.2,1.2,0.0,0.0000
2023-09-17,1.2,1.2,1.15,1.15,881449.0,0.0000
2023-09-19,1.15,1.15,1.15,1.15,0.0,0.0000
2023-09-20,1.15,1.15,1.15,1.15,0.0,0.0000
2023-09-21,1.15,1.15,1.15,1.15,0.0,0.0000
2023-09-24,1.1,1.15,1.1,1.1,572479.0,0.0000
2023-09-25,1.1,1.1,1.1,1.1,0.0,0.0000
2023-09-26,1.1,1.1,1.1,1.1,0.0,0.0000
2023-09-27,1.1,1.1,1.1,1.1,0.0,0.0000
2023-09-28,1.1,1.1,1.1,1.1,0.0,0.0000
2023-10-02,1.1,1.1,1.05,1.1,92962.0,0.0000
2023-10-03,1.1,1.1,1.1,1.1,0.0,0.0000
2023-10-04,1.1,1.1,1.1,1.1,0.0,0.0000
2023-10-05,1.1,1.1,1.1,1.1,0.0,0.0000
2023-10-08,1.1,1.15,1.05,1.15,118335.0,0.0000
2023-10-09,1.15,1.15,1.15,1.15,0.0,0.0000
2023-10-10,1.15,1.15,1.15,1.15,0.0,0.0000
2023-10-11,1.15,1.15,1.15,1.15,0.0,0.0000
2023-10-12,1.15,1.15,1.15,1.15,0.0,0.0000
2023-10-15,1.15,1.15,1.1,1.1,124214.0,0.0000
2023-10-16,1.1,1.1,1.1,1.1,0.0,0.0000
2023-10-17,1.1,1.1,1.1,1.1,0.0,0.0000
2023-10-18,1.1,1.1,1.1,1.1,0.0,0.0000
2023-10-19,1.1,1.1,1.1,1.1,0.0,0.0000
2023-10-22,1.1,1.1,1.05,1.05,23090.0,0.0000
2023-10-24,1.05,1.05,1.05,1.05,0.0,0.0000
2023-10-25,1.05,1.05,1.05,1.05,0.0,0.0000
2023-10-26,1.05,1.05,1.05,1.05,0.0,0.0000
2023-10-29,1.05,1.05,1.0,1.0,390824.0,0.0000
2023-10-30,1.0,1.0,1.0,1.0,0.0,0.0000
2023-10-31,1.0,1.0,1.0,1.0,0.0,0.0000
2023-11-01,1.0,1.0,1.0,1.0,0.0,0.0000
2023-11-02,1.0,1.0,1.0,1.0,0.0,0.0000
2023-11-05,1.0,1.0,1.0,1.0,1108573.0,0.0000
2023-11-06,1.0,1.0,1.0,1.0,0.0,0.0000
2023-11-07,1.0,1.0,1.0,1.0,0.0,0.0000
2023-11-08,1.0,1.0,1.0,1.0,0.0,0.0000
2023-11-09,1.0,1.0,1.0,1.0,0.0,0.0000
2023-11-12,1.05,1.05,1.05,1.05,69706.0,0.0000
2023-11-14,1.05,1.05,1.05,1.05,0.0,0.0000
2023-11-15,1.05,1.05,1.05,1.05,0.0,0.0000
2023-11-16,1.05,1.05,1.05,1.05,0.0,0.0000
2023-11-19,1.05,1.05,1.05,1.05,15944.0,0.0000
2023-11-20,1.05,1.05,1.05,1.05,0.0,0.0000
2023-11-21,1.05,1.05,1.05,1.05,0.0,0.0000
2023-11-22,1.05,1.05,1.05,1.05,0.0,0.0000
